Location,lon,lat
Canberra,-35.2818288805355,149.12859839809005
Sydney,-33.88041079742542,151.20775884490223
Perth,-31.89669816028727,115.86251177414398
Darwin,-12.427097750988423,130.8467481977571
Hobart,-42.83741071838427,147.3157211429524
Brisbane,-27.424914486895165,153.03149287930393
Adelaide,-34.90026524666475,138.59464519228132
Bendigo,-36.7313271957315,144.2781702696516
Townsville,-19.236955157755748,146.82248710540188
AliceSprings,-23.68417633885111,133.87943867988534
MountGambier,-37.826030280819346,140.78476200620833
Launceston,-41.43363513778595,147.14113966556138
Ballarat,-37.54668451677978,143.84723914848476
Albany,-35.01339453812876,117.88351638175284
Albury,-36.075272079772255,146.9256327685455
PerthAirport,-31.93847446240987,115.96724916428758
MelbourneAirport,-37.66894403679159,144.84128475874826
Mildura,-34.195896210976784,142.13222202983434
SydneyAirport,-33.93928162341126,151.17510470371258
Nuriootpa,-34.46701223420718,138.98343999208907
Sale,-38.09251082282856,147.067241850642
Watsonia,-37.70954334137143,145.08384548753887
Tuggeranong,-35.42794812889996,149.10990805274034
Portland,-33.355668515981314,149.98083744007172
Woomera,-31.175350707905718,136.81843788765372
Cairns,-16.877850607737503,145.72517367591368
Cobar,-31.371619267829676,145.76632066465044
Wollongong,-34.419262673817535,150.88633583403
GoldCoast,-27.97734526842697,153.4131520098983
WaggaWagga,-35.093067861712505,147.35578832998928
Penrith,-33.74654038683724,150.69090390902792
NorfolkIsland,-29.03577277452854,167.9556346274084
Newcastle,-32.91642340829996,151.78304791431688
SalmonGums,-32.87821703834973,121.63191824058569
CoffsHarbour,-30.29140954932174,153.10961818204763
Witchcliffe,-34.00919708604239,115.09680644785259
Richmond,-37.82192286737194,145.0007977337114
Dartmoor,-37.90841031595506,141.26733757119075
NorahHead,-33.28073263428868,151.57048603456562
BadgerysCreek,-33.882212932098604,150.7434563762203
MountGinini,-35.52686428032201,148.7719347311804
Moree,-29.37721048203243,149.84256429050427
Walpole,-34.983019745732,116.78129290021961
PearceRAAF,-31.666706882510166,116.02924286418272
Williamtown,-32.79988636769832,151.83855724420505
Melbourne,-37.79381755894193,144.95921961084778
Nhil,-36.28292193250097,141.63607225119395
Katherine,-14.464138370834679,132.27289676071746
Uluru,-25.342705460314896,131.03594361302657